index	word	Adaptation	Mitigation	Non-climate
0	<PAD>	0.3412193	0.18537521	0.47340554
1	<START>	0.34338123	0.18363707	0.47298178
2	<UNK>	0.34294593	0.1855044	0.47154966
3	<UNUSED>	0.34163886	0.1843056	0.4740556
4	scientists	0.3439604	0.20526116	0.45077842
5	met	0.38566968	0.21471326	0.39961702
6	office	0.37147012	0.1473307	0.48119926
7	hadley	0.3652887	0.19437908	0.44033226
8	periods	0.39014107	0.20750105	0.40235788
9	continuously	0.32185552	0.14861092	0.5295335
10	higher	0.29968762	0.16899754	0.53131485
11	impacts	0.40908897	0.17540866	0.4155023
12	changes	0.3757155	0.1725316	0.45175296
13	will	0.32748923	0.20639645	0.46611437
14	vary	0.37812346	0.20129356	0.42058298
15	centre	0.28882393	0.15907905	0.55209696
16	have	0.3041201	0.16571493	0.53016496
17	suggested	0.28530192	0.16024877	0.5544493
18	next	0.37217924	0.21571378	0.41210702
19	temperatures	0.42275468	0.16389677	0.41334853
20	are	0.3454466	0.18165413	0.4728993
21	used	0.3222154	0.22723982	0.4505448
22	place	0.35348907	0.15894096	0.48757002
23	just	0.29273686	0.16940108	0.53786206
24	weather	0.42014003	0.16392165	0.41593835
25	few	0.30720657	0.16802411	0.5247693
26	years	0.3029411	0.17228885	0.5247701
27	natural	0.4162319	0.16461554	0.4191525
28	climatic	0.42513487	0.16380571	0.41105944
29	variability	0.41547766	0.16640078	0.4181216
30	summer	0.40827167	0.16241229	0.429316
31	heatwave	0.4135549	0.16487238	0.42157272
32	experienced	0.409788	0.15952128	0.43069074
33	effect	0.3423203	0.14979939	0.50788033
34	has	0.3404482	0.18709219	0.47245964
35	society	0.37560955	0.15026923	0.47412124
36	varies	0.3824308	0.16441655	0.45315266
37	may	0.3798454	0.18924275	0.43091178
38	partially	0.34524602	0.22764009	0.42711383
39	offset	0.35941908	0.2041306	0.4364503
40	man	0.3270606	0.24196243	0.43097696
41	made	0.30271292	0.17004602	0.52724105
42	global	0.3312731	0.23535185	0.43337506
43	likely	0.3700687	0.1769257	0.45300558
44	become	0.28822833	0.19397996	0.5177917
45	normal	0.28449658	0.15657546	0.55892795
46	country	0.35878852	0.1454102	0.49580124
47	example	0.39590523	0.16777329	0.43632144
48	ukcip	0.43004802	0.1628456	0.4071064
49	warming	0.41428834	0.17261967	0.41309196
50	however	0.4029847	0.16209245	0.43492284
51	event	0.40768403	0.17683212	0.4154838
52	considered	0.40249604	0.15989478	0.43760917
53	scenarios	0.3772636	0.21352476	0.4092117
54	suggest	0.3507336	0.2149152	0.43435124
55	high	0.35912707	0.17559761	0.4652753
56	expected	0.36385813	0.20705965	0.42908227
57	continue	0.37747458	0.15062767	0.4718977
58	rising	0.37845027	0.21513751	0.40641215
